name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangladesh,2020-02-17,29.0,18.0,22.8,30.8,18.0,23.1,16.4,68.8,0.0,0,0.0,,0,0,23.8,18.4,281.8,1015.0,0.0,2.8,235.1,20.4,8,,2020-02-17T06:30:36,2020-02-17T17:54:38,0.78,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-18,29.0,17.0,22.5,29.5,17.0,22.7,16.1,68.3,0.0,0,0.0,,0,0,20.5,16.6,269.1,1014.2,8.1,2.6,233.0,20.2,8,,2020-02-18T06:29:53,2020-02-18T17:55:12,0.81,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41922099999"
Bangladesh,2020-02-19,30.0,17.2,23.5,30.0,17.2,23.4,14.9,61.6,0.0,0,0.0,,0,0,18.7,14.8,299.8,1015.3,2.2,3.7,234.5,20.3,8,,2020-02-19T06:29:09,2020-02-19T17:55:46,0.85,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-20,30.0,18.0,23.5,30.0,18.0,23.6,16.0,65.0,0.0,0,0.0,,0,0,16.9,9.4,296.6,1016.1,29.0,3.2,218.2,18.7,8,,2020-02-20T06:28:25,2020-02-20T17:56:19,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-21,31.0,17.0,23.3,30.3,17.0,23.3,15.0,62.4,0.0,0,0.0,,0,0,22.7,18.4,25.6,1017.7,21.6,3.3,237.6,20.4,8,,2020-02-21T06:27:39,2020-02-21T17:56:52,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-22,31.2,17.5,23.8,30.6,17.5,23.7,14.7,60.4,0.0,0,0.0,,0,0,14.4,11.2,321.7,1017.4,9.2,3.6,238.1,20.6,8,,2020-02-22T06:26:53,2020-02-22T17:57:24,0.95,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-23,31.2,18.7,24.8,31.0,18.7,24.8,16.1,61.7,0.0,0,0.0,,0,0,16.6,11.2,21.2,1015.8,43.4,3.6,224.1,19.5,8,,2020-02-23T06:26:06,2020-02-23T17:57:56,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-24,29.0,19.7,24.0,29.5,19.7,24.3,18.1,70.3,0.3,100,4.17,rain,0,0,21.6,16.6,303.7,1013.7,57.3,3.1,191.1,16.7,7,,2020-02-24T06:25:18,2020-02-24T17:58:28,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-25,24.0,19.9,21.3,24.0,19.9,21.3,17.4,78.5,7.4,100,41.67,rain,0,0,26.3,14.8,316.8,1013.3,70.9,2.4,121.1,10.4,5,,2020-02-25T06:24:29,2020-02-25T17:58:59,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
Bangladesh,2020-02-26,27.0,18.0,21.5,27.7,18.0,21.6,15.8,71.4,9.4,100,37.5,rain,0,0,27.4,14.8,193.0,1013.6,44.8,3.1,177.4,15.6,8,,2020-02-26T06:23:40,2020-02-26T17:59:29,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999"
