Date,Actual_Demand(MW),Generation(MW),Temp(C),Year,Month,Season,IsHoliday,DemandGenGap(MW),Predicted_Demand(MW)
2021-08-02,12000.0,14929.999999999998,28.7,2021,8,1,0,2930.0,12598.554158744106
2021-07-31,11000.0,14980.0,29.0,2021,7,1,0,3980.0,12304.312513642755
2021-07-17,13300.0,15427.000000000002,29.9,2021,7,1,0,2127.0,12530.425443369437
2021-07-15,13700.0,15387.0,30.3,2021,7,1,0,1686.999999999999,12614.071707102405
2021-07-14,13000.0,15171.0,31.1,2021,7,1,0,2171.0,13128.238689878068
2021-07-08,12000.0,15050.000000000002,29.2,2021,7,1,0,3050.0,12633.321762163698
2021-06-30,12799.999999999998,15304.000000000002,27.8,2021,6,1,0,2504.0000000000005,12517.57460269131
2021-06-23,13000.0,15714.999999999998,29.3,2021,6,1,0,2715.0000000000005,12677.737983896412
2021-06-06,13499.999999999998,15748.0,28.3,2021,6,1,0,2248.0000000000005,12448.36931170856
2021-06-05,12799.999999999998,15570.0,28.1,2021,6,1,0,2769.9999999999995,12396.30867296554
2021-06-02,13000.0,14766.0,30.5,2021,6,1,0,1765.9999999999998,12919.40605049589
2021-05-30,13700.0,14571.0,30.7,2021,5,1,0,870.9999999999998,13104.77739546376
2021-05-23,14500.0,15861.0,33.0,2021,5,1,0,1361.0,13596.238260081544
2021-05-22,13000.0,15750.000000000002,32.5,2021,5,1,0,2750.0,13525.481471143235
2021-05-17,11600.0,15349.999999999998,30.7,2021,5,1,0,3750.000000000001,12749.182611942724
2021-05-13,10700.000000000002,15761.0,29.1,2021,5,1,0,5061.0,12361.289088749509
2021-05-04,13000.0,15616.0,29.2,2021,5,1,0,2616.0,12519.112950079994
2021-04-27,13950.0,15300.000000000002,33.4,2021,4,1,0,1350.0,13675.041645750603
2021-04-25,13400.0,15687.0,31.8,2021,4,1,0,2287.0,13541.353269450286
2021-04-17,13000.0,15994.999999999998,29.5,2021,4,1,0,2995.0,12441.198674847936
2021-04-16,12200.0,15459.0,30.5,2021,4,1,1,3259.0,12477.492303326368
2021-04-14,13200.0,15498.0,32.1,2021,4,1,1,2298.0,12703.513549907317
2021-04-12,13100.0,15175.0,31.300000000000004,2021,4,1,0,2074.9999999999995,13146.857890928366
2021-04-08,12900.0,15688.0,30.0,2021,4,1,0,2787.9999999999995,12706.565586369456
2021-04-06,12000.0,16000.000000000002,29.3,2021,4,1,0,4000.0,12557.959243727486
2021-03-27,12400.0,15935.0,30.1,2021,3,1,0,3535.0,12677.327616049228
2021-03-25,12799.999999999998,15060.999999999998,31.0,2021,3,1,0,2260.9999999999995,13198.098210261747
2021-03-22,12799.999999999998,15253.000000000002,29.8,2021,3,1,0,2452.9999999999995,12517.966779628472
2021-03-21,12500.0,15629.0,29.2,2021,3,1,0,3128.9999999999995,12063.14421736546
2021-03-17,11200.0,15366.999999999998,27.5,2021,3,1,0,4167.0,11262.954044297325
2021-03-16,11600.0,15593.000000000002,28.0,2021,3,1,0,3992.999999999999,11662.894500387914
2021-03-11,11200.0,14810.999999999998,27.7,2021,3,1,0,3611.0,11316.64228245659
2021-03-10,11399.999999999998,14911.0,27.5,2021,3,1,0,3510.9999999999995,11107.727078062897
2021-03-05,9600.0,14581.0,26.8,2021,3,1,1,4981.0,10803.364009539384
2021-02-15,9500.0,13360.0,23.1,2021,2,0,0,3860.000000000001,9552.698026769349
2021-02-11,9600.0,13897.0,22.8,2021,2,0,0,4297.0,9433.751795166889
2021-02-08,9300.0,13425.0,20.7,2021,2,0,0,4125.0,9321.38252989794
2021-02-01,9200.0,12962.0,27.37918468190241,2021,2,0,0,3762.0,11218.239314582595
2021-01-30,9300.0,13722.0,20.8,2021,1,0,0,4422.0,9447.001515634778
