Date,Demand(MW),Temp(C),IsHoliday,humidity,feelslike
2024-01-18,10700,17.6587,0,80.9,16.7
2024-01-17,10600,17.598399999999998,0,87.5,14.8
2024-01-16,10600,17.595899999999997,0,82.2,15.5
2024-01-15,10600,17.6667,0,79.4,17.3
2024-01-14,10600,17.796699999999998,0,85.5,15.9
2024-01-13,10300,17.8367,0,79.8,15.9
2024-01-12,9300,17.823,1,81.2,15.7
2024-01-10,10000,18.3,0,81.0,18.3
2024-01-09,10000,19.0,0,79.9,19.0
2024-01-08,10500,19.8,0,76.4,19.8
2024-01-07,9000,20.4,0,69.8,20.4
2024-01-06,9700,19.8,0,73.4,19.8
2024-01-05,10000,17.5,1,87.6,17.5
2024-01-04,10200,18.4,0,82.1,18.4
2023-12-31,10500,19.7,0,82.0,19.7
2023-12-29,10200,22.3,1,71.2,22.4
2023-12-28,10600,22.2,0,70.6,22.3
2023-12-27,10500,22.0,0,73.7,22.0
2023-12-26,10200,21.7,0,72.8,21.7
2023-12-25,10000,21.9,0,73.6,21.9
2023-12-24,10200,21.7,0,75.4,21.7
2023-12-23,9500,21.6,0,75.2,21.6
2023-12-22,9600,22.0,1,71.2,22.0
2023-12-21,10000,21.9,0,68.2,22.0
2023-12-20,10300,21.1,0,70.8,21.1
2023-12-19,10500,20.8,0,68.5,20.8
2023-12-18,9800,21.1,0,68.5,21.1
2023-12-17,9800,20.8,0,68.5,20.8
2023-12-16,8800,20.4,0,72.1,20.4
2023-12-15,9800,19.7,1,70.0,19.7
2023-12-14,10500,19.9,0,68.7,19.9
2023-12-13,10300,20.9,0,76.6,20.9
2023-12-12,10000,20.0,0,86.7,20.0
2023-12-11,10000,20.3,0,82.4,20.3
2023-12-10,11000,21.6,0,77.0,21.6
2023-12-09,10500,23.0,0,75.1,23.2
2023-12-08,10000,21.9,1,82.3,21.9
2023-12-07,10700,21.2,0,87.9,21.2
2023-12-06,11000,24.5,0,75.9,24.7
2023-12-05,10800,24.8,0,71.0,24.8
2023-12-04,11000,25.0,0,66.3,25.3
2023-12-03,10900,25.3,0,64.5,25.4
2023-12-02,10500,25.5,0,63.9,25.7
2023-12-01,10000,25.8,1,63.2,26.0
2023-11-30,11000,25.3,0,66.9,25.5
2023-11-29,11000,25.6,0,67.3,26.0
2023-11-28,11100,26.1,0,65.8,26.5
2023-11-27,11000,25.6,0,66.1,25.9
2023-11-26,11000,24.7,0,63.1,24.7
2023-11-25,10200,24.3,0,67.2,24.4
2023-11-24,10000,24.3,1,70.7,24.6
2023-11-23,11500,24.5,0,67.0,24.6
2023-11-22,10900,25.1,0,65.0,25.2
2023-11-21,11500,26.2,0,67.4,26.7
2023-11-20,11500,26.5,0,68.5,27.2
2023-11-19,11500,26.0,0,71.0,26.7
2023-11-18,10500,24.6,0,73.9,25.1
2023-11-17,10000,22.8,1,88.5,22.8
2023-11-16,12000,25.7,0,72.2,26.1
2023-11-15,12000,26.8,0,62.1,27.4
2023-11-14,12000,26.8,0,63.4,27.4
2023-11-13,12000,26.8,0,61.1,27.4
2023-11-12,11800,26.4,0,62.8,26.8
2023-11-11,11000,26.2,0,65.1,26.7
2023-11-10,10800,26.1,1,64.7,26.6
2023-11-09,11500,26.8,0,64.6,27.4
2023-11-08,12000,26.6,0,65.0,27.4
