File_Name,Report_Date,Day_ProbPeakGen(MW),Evening_ProbPeakGen(MW),ProbMaxDemand(MW),ProbMaxGen(MW)
7271report.pdf,03.11.23,12497,14708,12000,14708
5274report.pdf,11.02.21,12511,13897,9600,13897
5260report.pdf,04.02.21,11837,13069,9300,13069
5783report.pdf,23.10.21,13375,14460,11500,14460
5056report.pdf,25.10.20,13692,14550,11200,14550
summary_20240909_20240910122422.pdf,09.09.24,14371,15482,16200,15482
5867report.pdf,04.12.21,11140,12415,9000,12415
7053report.pdf,17.07.23,13244,15179,15000,15179
7609report.pdf,19.04.24,15382,16980,14800,16980
5326report.pdf,09.03.21,14263,15283,11200,15283
5110report.pdf,21.11.20,12448,14081,9500,14081
6439report.pdf,13.09.22,12072,14085,12400,14085
summary_20240914_20240915105939.pdf,14.09.24,14556,16174,13000,16174
6922report.pdf,13.05.23,11179,13062,14000,13062
4861report.pdf,19.07.20,13643,14914,12400,14914
summary_20240919_20240919130855.pdf,19.09.24,15658,16456,16000,16456
6055report.pdf,07.03.22,12884,13494,11500,13494
6263report.pdf,17.06.22,13789,15096,11000,15096
6749report.pdf,15.02.23,9458,10862,10750,10862
7359report.pdf,17.12.23,10466,11371,9800,11371
7673report.pdf,20.05.24,15628,16950,15000,16950
5992report.pdf,04.02.22,11754,12447,8500,12447
5489report.pdf,29.05.21,14268,15133,13000,15133
5440report.pdf,05.05.21,14624,15462,13000,15462
5730report.pdf,27.09.21,13927,14894,13800,14894
5506report.pdf,07.06.21,13980,15246,13200,15246
6219report.pdf,26.05.22,13895,14906,14000,14906
6733report.pdf,07.02.23,9149,10958,10500,10958
4994report.pdf,24.09.20,12730,13620,11400,13620
6991report.pdf,16.06.23,12158,14693,14000,14693
6958report.pdf,31.05.23,13058,15031,15200,15031
6675report.pdf,09.01.23,8279,9482,10200,9482
6396report.pdf,23.08.22,11966,13737,14200,13737
4393report.pdf,22.11.19,12691,15215,8000,15215
6848report.pdf,06.04.23,12771,14450,13800,14450
4884report.pdf,31.07.20,13268,14579,11000,14579
6286report.pdf,29.06.22,13472,14811,14000,14811
6765report.pdf,23.02.23,10629,12233,11500,12233
6415report.pdf,01.09.22,12100,14071,14700,14071
4410report.pdf,06.12.19,11540,14072,8000,14072
6309report.pdf,10.07.22,13311,14873,11500,14873
6623report.pdf,14.12.22,8887,11389,10000,11389
7625report.pdf,26.04.24,15933,16878,16000,16878
5620report.pdf,03.08.21,14106,14863,13000,14863
7139report.pdf,29.08.23,13426,14955,15200,14955
7413report.pdf,13.01.24,11156,11963,10300,11963
5416report.pdf,23.04.21,14726,15546,12900,15546
summary_20240906_20240908150037.pdf,06.09.24,14602,15385,14000,15385
7280report.pdf,08.11.23,10663,12352,12000,12352
5599report.pdf,23.07.21,14308,15144,12700,15144
5882report.pdf,12.12.21,11640,12980,9800,12980
6974report.pdf,08.06.23,13131,15001,15200,15001
6690report.pdf,17.01.23,8428,9565,10200,9565
6659report.pdf,01.01.23,8463,10512,9900,10512
6529report.pdf,28.10.22,9918,11915,11000,11915
6235report.pdf,03.06.22,14108,15128,12500,15128
5236report.pdf,23.01.21,10819,11956,9500,11956
7233report.pdf,15.10.23,12587,14937,14500,14937
7719report.pdf,12.06.24,15749,16836,16800,16836
5000report.pdf,27.09.20,13509,14415,11500,14415
7005report.pdf,23.06.23,12743,14615,13800,14615
7375report.pdf,25.12.23,10912,11580,10000,11580
5370report.pdf,31.03.21,14940,15619,12900,15619
5977report.pdf,27.01.22,11320,12140,10200,12140
7143report.pdf,31.08.23,14102,15518,15500,15518
5146report.pdf,09.12.20,12493,13683,9000,13683
5152report.pdf,12.12.20,11744,13643,8500,13643
5478report.pdf,24.05.21,14986,15881,14500,15881
5364report.pdf,28.03.21,14823,15725,13000,15725
5687report.pdf,05.09.21,13460,14592,13800,14592
7682report.pdf,25.05.24,15954,17239,16300,17239
5825report.pdf,12.11.21,12967,14434,10000,14434
5014report.pdf,05.10.20,13428,14573,12700,14573
5222report.pdf,16.01.21,12003,13221,9200,13221
6221report.pdf,27.05.22,13648,14782,12500,14782
6017report.pdf,16.02.22,11871,12369,10250,12369
summary_20240726_20240728130254.pdf,26.07.24,14328,15527,15000,15527
6960report.pdf,01.06.23,13087,14756,15500,14756
7588report.pdf,08.04.24,14056,15568,14300,15568
5896report.pdf,19.12.21,11962,13282,9300,13282
5544report.pdf,26.06.21,14712,15598,12800,15598
7294report.pdf,15.11.23,12090,14121,12000,14121
5128report.pdf,30.11.20,13289,14474,9200,14474
5402report.pdf,16.04.21,14376,15459,12200,15459
5919report.pdf,30.12.21,10918,12076,9500,12076
5634report.pdf,10.08.21,14060,14879,13000,14879
4404report.pdf,03.12.19,11416,13845,8700,13845
6292report.pdf,02.07.22,12419,13792,13800,13792
4774report.pdf,06.06.20,12613,15053,10800,15053
4890report.pdf,03.08.20,11940,13324,11500,13324
7389report.pdf,01.01.23,10553,11673,10400,11673
7495report.pdf,21.02.24,11815,12456,11000,12456
5459report.pdf,14.05.21,14741,15720,10500,15720
5490report.pdf,30.05.21,13758,14571,13700,14571
5729report.pdf,26.09.21,13988,14930,13300,14930
summary_20241202_20241202135517.pdf,02.12.24,12922,13607,10900,13607
5804report.pdf,03.11.21,13260,14571,10500,14571
4802report.pdf,20.06.20,13585,15070,11000,15070
6170report.pdf,02.05.22,14863,15746,12300,15746
6493report.pdf,10.10.22,10643,12686,14200,12686
4944report.pdf,30.08.20,13201,14178,12200,14178
6941report.pdf,22.05.23,12430,14663,13900,14663
6346report.pdf,29.07.22,11299,12994,12800,12994
summary_20240807_20240808103644.pdf,07.08.24,15245,17638,14000,17638
5279report.pdf,13.02.21,12679,14091,9300,14091
5086report.pdf,09.11.20,12767,14164,10200,14164
summary_20241211_20241212095125.pdf,11.12.24,12740,13314,10300,13314
5615report.pdf,31.07.21,14180,14980,11000,14980
5938report.pdf,09.01.22,10881,11677,9800,11677
5423report.pdf,26.04.21,14358,15425,13700,15425
6420report.pdf,04.09.22,11767,14301,13900,14301
6616report.pdf,11.12.22,8939,11345,10200,11345
4878report.pdf,28.07.20,13684,14861,12000,14861
6085report.pdf,22.03.22,13459,14017,13500,14017
4788report.pdf,13.06.20,12970,15115,11000,15115
6091report.pdf,25.03.22,13156,13846,12600,13846
6058report.pdf,09.03.22,12816,13480,12000,13480
6602report.pdf,04.12.22,9393,11914,10500,11914
6328report.pdf,20.07.22,11520,12051,14200,12051
6434report.pdf,11.09.22,12499,14127,13800,14127
7432report.pdf,24.01.24,10583,10818,10800,10818
7118report.pdf,19.08.23,12409,15001,14400,15001
5601report.pdf,24.07.21,14325,15185,12800,15185
7604report.pdf,16.04.24,14030,15890,15000,15890
7574report.pdf,01.04.24,12170,13740,14200,13740
5092report.pdf,12.11.20,13237,14582,10300,14582
7742report.pdf,23.06.24,15157,17026,15000,17026
7268report.pdf,02.11.23,12961,15045,12700,15045
summary_20241113_20241117101307.pdf,13.11.24,12588,13213,12800,13213
6678report.pdf,11.01.23,8758,10421,10300,10421
6955report.pdf,29.05.23,12483,14894,14500,14894
6164report.pdf,28.04.22,15116,15547,14600,15547
4950report.pdf,02.09.20,13481,14508,12500,14508
6214report.pdf,24.05.22,13568,14668,14200,14668
6813report.pdf,19.03.23,11599,13884,12000,13884
5810report.pdf,06.11.21,13043,14387,10300,14387
