ReportDate,IsHoliday,DayOfWeek,ProbableMaxDemand_MW_Forecast,ProbableMaxGeneration_MW_Forecast,GrossTotal_ProbableDayPeakGeneration_MW,GrossTotal_ProbableEveningPeakGeneration_MW
2021-08-22,No,Sunday,13200.0,15255.0,14250.0,15255.0
2021-08-23,No,Monday,13500.0,14883.0,13914.0,14883.0
2021-08-24,No,Tuesday,13000.0,14679.0,13742.0,14679.0
2021-08-25,No,Wednesday,13300.0,14507.0,13615.0,14507.0
2021-08-26,No,Thursday,13000.0,14669.0,13746.0,14669.0
2021-08-27,Yes,Friday,12000.0,14432.0,13239.0,14432.0
2021-08-28,No,Saturday,13000.0,14448.0,13705.0,14448.0
2021-08-29,No,Sunday,13500.0,14423.0,13680.0,14423.0
2021-08-30,No,Monday,13000.0,14234.0,13490.0,14234.0
2021-08-31,No,Tuesday,13500.0,14241.0,13266.0,14241.0
2021-09-01,No,Wednesday,13500.0,14170.0,13308.0,14170.0
2021-09-02,No,Thursday,13300.0,14205.0,12863.0,14205.0
2021-09-03,Yes,Friday,12300.0,14311.0,13257.0,14311.0
2021-09-04,No,Saturday,13000.0,14697.0,13578.0,14697.0
2021-09-05,No,Sunday,13800.0,14592.0,13460.0,14592.0
2021-09-06,No,Monday,13800.0,14280.0,13186.0,14280.0
2021-09-07,No,Tuesday,13300.0,14395.0,13381.0,14395.0
2021-09-08,No,Wednesday,13500.0,14315.0,13409.0,14315.0
2021-09-09,No,Thursday,13500.0,14180.0,13370.0,14180.0
2021-09-10,Yes,Friday,12500.0,14238.0,13540.0,14238.0
2021-09-12,No,Sunday,13800.0,14720.0,13923.0,14720.0
2021-09-13,No,Monday,13800.0,14523.0,13749.0,14523.0
2021-09-14,No,Tuesday,13500.0,14230.0,13540.0,14230.0
2021-09-15,No,Wednesday,13400.0,14390.0,13675.0,14390.0
2021-09-16,No,Thursday,13500.0,14619.0,13842.0,14619.0
2021-09-17,Yes,Friday,12900.0,14721.0,13955.0,14721.0
2021-09-19,No,Sunday,13200.0,14618.0,13778.0,14618.0
2021-09-18,No,Saturday,12800.0,14577.0,13816.0,14577.0
2021-09-20,No,Monday,13300.0,14564.0,13756.0,14564.0
2021-09-21,No,Tuesday,13200.0,14620.0,13803.0,14620.0
2021-09-22,No,Wednesday,13200.0,14842.0,13995.0,14842.0
2021-09-23,No,Thursday,12700.0,14886.0,14073.0,14886.0
2021-09-24,Yes,Friday,12500.0,14729.0,13744.0,14729.0
2021-09-25,No,Saturday,13200.0,14938.0,13987.0,14938.0
2021-09-26,No,Sunday,13300.0,14930.0,13988.0,14930.0
2021-09-27,No,Monday,13800.0,14894.0,13927.0,14894.0
2021-09-28,No,Tuesday,13200.0,14934.0,13740.0,14934.0
2021-09-29,No,Wednesday,13000.0,14840.0,13810.0,14840.0
2021-09-30,No,Thursday,13000.0,15149.0,14110.0,15149.0
2021-10-01,Yes,Friday,12800.0,14891.0,13866.0,14891.0
2021-10-02,No,Saturday,13000.0,14718.0,13587.0,14718.0
2021-10-03,No,Sunday,13800.0,14955.0,13901.0,14955.0
2021-10-04,No,Monday,13000.0,14830.0,13555.0,14830.0
2021-10-05,No,Tuesday,12500.0,14860.0,13846.0,14860.0
2021-10-06,No,Wednesday,12500.0,14505.0,13490.0,14505.0
2021-10-08,Yes,Friday,12200.0,14300.0,13219.0,14300.0
2021-10-09,No,Saturday,12800.0,14426.0,13298.0,14426.0
2021-10-09,No,Saturday,12800.0,14426.0,13298.0,14426.0
2021-10-07,No,Thursday,13000.0,14551.0,13415.0,14551.0
2021-10-11,No,Monday,13800.0,14081.0,13213.0,14081.0
2021-10-12,No,Tuesday,13800.0,14350.0,13362.0,14350.0
2021-10-13,No,Wednesday,13700.0,14215.0,13158.0,14215.0
2021-10-14,No,Thursday,13800.0,14618.0,13528.0,14618.0
2021-10-15,Yes,Friday,12900.0,14700.0,13614.0,14700.0
2021-10-16,No,Saturday,13500.0,14618.0,13466.0,14618.0
2021-10-17,No,Sunday,13600.0,14754.0,13550.0,14754.0
2021-10-18,No,Monday,12600.0,14762.0,13663.0,14762.0
2021-10-19,No,Tuesday,12000.0,14534.0,13457.0,14534.0
2021-10-20,No,Wednesday,11500.0,14569.0,13486.0,14569.0
2021-10-21,No,Thursday,12400.0,14579.0,13551.0,14579.0
