Report Date,Zone,Generation(MW)
2024-10-27,Barishal,3654
2024-10-27,Cumilla,3481
2024-10-27,Dhaka,51
2024-10-27,Mymensing,461
2024-10-27,Sylhet,2879
2024-10-27,Khulna,3949
2024-10-27,Rangpur,1019
2024-10-27,Chattogram,3426
2024-10-26,Chattogram,3411
2024-10-26,Rangpur,1021
2024-10-26,Khulna,3944
2024-10-26,Sylhet,2711
2024-10-26,Mymensing,475
2024-10-26,Cumilla,3467
2024-10-26,Barishal,3654
2024-10-26,Rajshahi,4033
2024-10-26,Dhaka,50
2024-10-25,Mymensing,473
2024-10-25,Barishal,3654
2024-10-25,Rangpur,1021
2024-10-25,Rajshahi,4080
2024-10-25,Sylhet,2715
2024-10-25,Cumilla,3428
2024-10-25,Chattogram,3371
2024-10-25,Dhaka,49
2024-10-25,Khulna,3874
2024-10-24,Rangpur,1021
2024-10-24,Rajshahi,4180
2024-10-24,Chattogram,3901
2024-10-24,Cumilla,3396
2024-10-24,Barishal,4111
2024-10-24,Khulna,3866
2024-10-24,Sylhet,2680
2024-10-24,Dhaka,48
2024-10-24,Mymensing,601
2024-10-23,Chattogram,3928
2024-10-23,Dhaka,47
2024-10-23,Sylhet,2760
2024-10-23,Mymensing,617
2024-10-23,Khulna,3846
2024-10-23,Barishal,4268
2024-10-23,Rajshahi,4218
2024-10-23,Rangpur,1035
2024-10-23,Cumilla,3328
2024-10-22,Barishal,4142
2024-10-22,Mymensing,617
2024-10-22,Sylhet,2765
2024-10-22,Khulna,3867
2024-10-22,Dhaka,46
2024-10-22,Chattogram,3983
2024-10-22,Rajshahi,4218
2024-10-22,Rangpur,1077
2024-10-22,Cumilla,3529
2024-10-21,Cumilla,3528
2024-10-21,Rangpur,1097
2024-10-21,Rajshahi,4238
2024-10-21,Barishal,4062
2024-10-21,Khulna,3844
2024-10-21,Sylhet,2789
2024-10-21,Mymensing,596
2024-10-21,Chattogram,3825
2024-10-21,Dhaka,45
2024-10-20,Chattogram,3881
2024-10-20,Rangpur,1097
2024-10-20,Rajshahi,4238
2024-10-20,Barishal,3922
2024-10-20,Khulna,3830
2024-10-20,Sylhet,2783
2024-10-20,Mymensing,588
2024-10-20,Cumilla,3532
2024-10-20,Dhaka,44
2024-10-19,Dhaka,43
2024-10-19,Cumilla,3463
2024-10-19,Chattogram,3946
2024-10-19,Sylhet,2777
2024-10-19,Rajshahi,4238
2024-10-19,Mymensing,606
2024-10-19,Khulna,2981
2024-10-19,Barishal,3922
2024-10-19,Rangpur,1097
2024-10-18,Dhaka,42
2024-10-18,Chattogram,4216
2024-10-18,Cumilla,3342
2024-10-18,Mymensing,602
2024-10-18,Sylhet,2777
2024-10-18,Khulna,3735
2024-10-18,Barishal,4138
2024-10-18,Rajshahi,4228
2024-10-18,Rangpur,1174
2024-10-17,Rangpur,1096
2024-10-17,Rajshahi,4140
2024-10-17,Barishal,4012
2024-10-17,Khulna,3683
